,wind speed in knots (TWS),  speed in knots
angle (TWA),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
159,0.0,0.7,1.4,2.1,2.7,3.4,3.9,4.4,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
160,0.0,0.7,1.4,2.1,2.7,3.4,3.9,4.4,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
161,0.0,0.7,1.4,2.1,2.7,3.4,3.9,4.3,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
162,0.0,0.7,1.4,2.1,2.7,3.4,3.9,4.3,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
163,0.0,0.7,1.4,2.1,2.7,3.4,3.9,4.3,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
164,0.0,0.7,1.4,2.1,2.7,3.4,3.9,4.3,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
165,0.0,0.7,1.4,2.0,2.7,3.4,3.9,4.3,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
166,0.0,0.7,1.4,2.0,2.7,3.4,3.9,4.3,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
167,0.0,0.7,1.4,2.0,2.7,3.4,3.9,4.3,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
168,0.0,0.7,1.4,2.0,2.7,3.4,3.9,4.3,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
169,0.0,0.7,1.4,2.0,2.7,3.4,3.9,4.3,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
170,0.0,0.7,1.4,2.0,2.7,3.4,3.9,4.3,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
171,0.0,0.7,1.4,2.0,2.7,3.4,3.9,4.3,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
172,0.0,0.7,1.4,2.0,2.7,3.4,3.9,4.3,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.6,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
173,0.0,0.7,1.4,2.0,2.7,3.4,3.9,4.3,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.6,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
174,0.0,0.7,1.4,2.0,2.7,3.4,3.9,4.3,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.6,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
175,0.0,0.7,1.4,2.0,2.7,3.4,3.9,4.3,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.6,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
176,0.0,0.7,1.4,2.0,2.7,3.4,3.9,4.3,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.6,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
177,0.0,0.7,1.4,2.0,2.7,3.4,3.9,4.3,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.6,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
178,0.0,0.7,1.4,2.0,2.7,3.4,3.9,4.3,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.6,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
179,0.0,0.7,1.4,2.0,2.7,3.4,3.9,4.3,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.6,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
180,0.0,0.7,1.4,2.0,2.7,3.4,3.9,4.3,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.6,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
181,0.0,0.7,1.4,2.0,2.7,3.4,3.9,4.3,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.6,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
182,0.0,0.7,1.4,2.0,2.7,3.4,3.9,4.3,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.6,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
183,0.0,0.7,1.4,2.0,2.7,3.4,3.9,4.3,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.6,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
184,0.0,0.7,1.4,2.0,2.7,3.4,3.9,4.3,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.6,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
185,0.0,0.7,1.4,2.0,2.7,3.4,3.9,4.3,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.6,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
186,0.0,0.7,1.4,2.0,2.7,3.4,3.9,4.3,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.6,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
187,0.0,0.7,1.4,2.0,2.7,3.4,3.9,4.3,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.6,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
188,0.0,0.7,1.4,2.0,2.7,3.4,3.9,4.3,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
189,0.0,0.7,1.4,2.0,2.7,3.4,3.9,4.3,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
190,0.0,0.7,1.4,2.0,2.7,3.4,3.9,4.3,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
191,0.0,0.7,1.4,2.0,2.7,3.4,3.9,4.3,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
192,0.0,0.7,1.4,2.0,2.7,3.4,3.9,4.3,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
193,0.0,0.7,1.4,2.0,2.7,3.4,3.9,4.3,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
194,0.0,0.7,1.4,2.0,2.7,3.4,3.9,4.3,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
195,0.0,0.7,1.4,2.1,2.7,3.4,3.9,4.3,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
196,0.0,0.7,1.4,2.1,2.7,3.4,3.9,4.3,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
197,0.0,0.7,1.4,2.1,2.7,3.4,3.9,4.3,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
198,0.0,0.7,1.4,2.1,2.7,3.4,3.9,4.3,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
199,0.0,0.7,1.4,2.1,2.7,3.4,3.9,4.4,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
200,0.0,0.7,1.4,2.1,2.7,3.4,3.9,4.4,4.7,5.1,5.4,5.7,5.8,6.0,6.1,6.3,6.4,6.5,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
201,0.0,0.7,1.4,2.1,2.8,3.4,3.9,4.4,4.8,5.1,5.4,5.7,5.8,6.0,6.2,6.3,6.4,6.5,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
202,0.0,0.7,1.4,2.1,2.8,3.4,3.9,4.4,4.8,5.2,5.4,5.7,5.8,6.0,6.2,6.3,6.4,6.5,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
203,0.0,0.7,1.4,2.1,2.8,3.5,3.9,4.4,4.8,5.2,5.4,5.7,5.9,6.0,6.2,6.3,6.4,6.6,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
204,0.0,0.7,1.4,2.1,2.8,3.5,3.9,4.4,4.8,5.2,5.4,5.7,5.9,6.0,6.2,6.3,6.4,6.6,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
205,0.0,0.7,1.4,2.1,2.8,3.5,3.9,4.4,4.8,5.2,5.4,5.7,5.9,6.0,6.2,6.3,6.4,6.6,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
206,0.0,0.7,1.4,2.1,2.8,3.5,3.9,4.4,4.8,5.2,5.4,5.7,5.9,6.0,6.2,6.3,6.4,6.6,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
207,0.0,0.7,1.4,2.1,2.8,3.5,3.9,4.4,4.8,5.2,5.4,5.7,5.9,6.0,6.2,6.3,6.4,6.6,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
208,0.0,0.7,1.4,2.1,2.8,3.5,4.0,4.4,4.8,5.2,5.5,5.7,5.9,6.0,6.2,6.3,6.5,6.6,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
209,0.0,0.7,1.4,2.1,2.8,3.5,4.0,4.4,4.8,5.2,5.5,5.7,5.9,6.0,6.2,6.3,6.5,6.6,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
210,0.0,0.7,1.4,2.1,2.8,3.5,4.0,4.4,4.8,5.2,5.5,5.7,5.9,6.1,6.2,6.3,6.5,6.6,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
211,0.0,0.7,1.4,2.1,2.8,3.5,4.0,4.5,4.9,5.2,5.5,5.7,5.9,6.1,6.2,6.4,6.5,6.6,6.7,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9
212,0.0,0.7,1.4,2.1,2.9,3.6,4.0,4.5,4.9,5.3,5.5,5.8,5.9,6.1,6.2,6.4,6.5,6.6,6.7,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9
213,0.0,0.7,1.4,2.2,2.9,3.6,4.1,4.5,4.9,5.3,5.5,5.8,5.9,6.1,6.2,6.4,6.5,6.6,6.8,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9
214,0.0,0.7,1.5,2.2,2.9,3.6,4.1,4.6,4.9,5.3,5.5,5.8,5.9,6.1,6.3,6.4,6.5,6.7,6.8,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9
215,0.0,0.7,1.5,2.2,2.9,3.7,4.1,4.6,5.0,5.3,5.6,5.8,6.0,6.1,6.3,6.4,6.5,6.7,6.8,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9
216,0.0,0.7,1.5,2.2,2.9,3.7,4.2,4.6,5.0,5.4,5.6,5.8,6.0,6.1,6.3,6.4,6.6,6.7,6.8,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9
217,0.0,0.7,1.5,2.2,3.0,3.7,4.2,4.6,5.0,5.4,5.6,5.8,6.0,6.1,6.3,6.5,6.6,6.7,6.8,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
218,0.0,0.7,1.5,2.2,3.0,3.7,4.2,4.7,5.0,5.4,5.6,5.9,6.0,6.2,6.3,6.5,6.6,6.7,6.9,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
219,0.0,0.8,1.5,2.3,3.0,3.8,4.2,4.7,5.1,5.4,5.7,5.9,6.0,6.2,6.3,6.5,6.6,6.7,6.9,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
220,0.0,0.8,1.5,2.3,3.0,3.8,4.3,4.7,5.1,5.5,5.7,5.9,6.0,6.2,6.3,6.5,6.6,6.8,6.9,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
221,0.0,0.8,1.5,2.3,3.1,3.8,4.3,4.8,5.1,5.5,5.7,5.9,6.1,6.2,6.4,6.5,6.6,6.8,6.9,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
222,0.0,0.8,1.5,2.3,3.1,3.9,4.3,4.8,5.2,5.5,5.7,5.9,6.1,6.2,6.4,6.5,6.7,6.8,6.9,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
223,0.0,0.8,1.6,2.3,3.1,3.9,4.4,4.8,5.2,5.5,5.7,5.9,6.1,6.2,6.4,6.6,6.7,6.8,6.9,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
224,0.0,0.8,1.6,2.4,3.1,3.9,4.4,4.9,5.2,5.6,5.8,6.0,6.1,6.3,6.4,6.6,6.7,6.8,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
225,0.0,0.8,1.6,2.4,3.2,3.9,4.4,4.9,5.2,5.6,5.8,6.0,6.1,6.3,6.4,6.6,6.7,6.8,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
226,0.0,0.8,1.6,2.4,3.2,4.0,4.4,4.9,5.3,5.6,5.8,6.0,6.1,6.3,6.4,6.6,6.7,6.8,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
227,0.0,0.8,1.6,2.4,3.2,4.0,4.5,4.9,5.3,5.6,5.8,6.0,6.1,6.3,6.4,6.6,6.7,6.8,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
228,0.0,0.8,1.6,2.4,3.2,4.0,4.5,5.0,5.3,5.6,5.8,6.0,6.1,6.3,6.4,6.6,6.7,6.8,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
229,0.0,0.8,1.6,2.4,3.3,4.1,4.5,5.0,5.3,5.7,5.8,6.0,6.2,6.3,6.5,6.6,6.7,6.8,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
230,0.0,0.8,1.6,2.5,3.3,4.1,4.6,5.0,5.3,5.7,5.8,6.0,6.2,6.3,6.5,6.6,6.7,6.8,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
231,0.0,0.8,1.7,2.5,3.3,4.1,4.6,5.1,5.4,5.7,5.9,6.0,6.2,6.3,6.5,6.6,6.7,6.9,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
232,0.0,0.8,1.7,2.5,3.3,4.2,4.6,5.1,5.4,5.7,5.9,6.1,6.2,6.3,6.5,6.6,6.7,6.9,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
233,0.0,0.8,1.7,2.5,3.4,4.2,4.7,5.1,5.4,5.7,5.9,6.1,6.2,6.3,6.5,6.6,6.7,6.9,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
234,0.0,0.8,1.7,2.5,3.4,4.2,4.7,5.1,5.4,5.7,5.9,6.1,6.2,6.4,6.5,6.6,6.7,6.9,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
235,0.0,0.9,1.7,2.6,3.4,4.3,4.7,5.2,5.5,5.8,5.9,6.1,6.2,6.4,6.5,6.6,6.8,6.9,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
236,0.0,0.9,1.7,2.6,3.4,4.3,4.7,5.2,5.5,5.8,5.9,6.1,6.2,6.4,6.5,6.6,6.8,6.9,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
237,0.0,0.9,1.7,2.6,3.5,4.3,4.8,5.2,5.5,5.8,6.0,6.1,6.3,6.4,6.5,6.6,6.8,6.9,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
238,0.0,0.9,1.7,2.6,3.5,4.3,4.8,5.3,5.5,5.8,6.0,6.1,6.3,6.4,6.5,6.7,6.8,6.9,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
239,0.0,0.9,1.8,2.6,3.5,4.4,4.8,5.3,5.6,5.8,6.0,6.1,6.3,6.4,6.5,6.7,6.8,6.9,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
240,0.0,0.9,1.8,2.6,3.5,4.4,4.8,5.3,5.6,5.8,6.0,6.1,6.3,6.4,6.5,6.7,6.8,6.9,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
241,0.0,0.9,1.8,2.6,3.5,4.4,4.9,5.3,5.6,5.8,6.0,6.1,6.3,6.4,6.5,6.7,6.8,6.9,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
242,0.0,0.9,1.8,2.6,3.5,4.4,4.9,5.3,5.6,5.8,6.0,6.2,6.3,6.4,6.5,6.7,6.8,6.9,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
243,0.0,0.9,1.8,2.7,3.5,4.4,4.9,5.3,5.6,5.8,6.0,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
